case_id,problem_ref,problem_source_id,bridge_bucket,student_message,recent_dialogue_status,context_sufficiency,current_question_specificity,expected_tutor_move,model_should_infer_bridge,recommended_use,audit_reasons
dialogue_v3_001_state_representation_semantics,luogu_p2890_state_representation_semantics,P2890,state_representation_semantics,这个状态怎么想？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_002_state_representation_semantics,luogu_p1057_state_representation_semantics,P1057,state_representation_semantics,dp 这一格是啥意思？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_003_state_representation_semantics,luogu_p11378_state_representation_semantics,P11378,state_representation_semantics,数组里到底存什么？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_004_state_representation_semantics,luogu_p4677_state_representation_semantics,P4677,state_representation_semantics,状态维度怎么定？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_005_state_representation_semantics,luogu_p3349_state_representation_semantics,P3349,state_representation_semantics,这里要记哪些量？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_006_state_representation_semantics,luogu_p4649_state_representation_semantics,P4649,state_representation_semantics,我不会设状态。,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_007_transition_recurrence_source,luogu_p4141_transition_recurrence_source,P4141,transition_recurrence_source,分支该怎么列？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_008_transition_recurrence_source,luogu_p1273_transition_recurrence_source,P1273,transition_recurrence_source,这里从哪转来？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_009_transition_recurrence_source,luogu_p2014_transition_recurrence_source,P2014,transition_recurrence_source,这一步怎么递推？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_010_transition_recurrence_source,luogu_p2015_transition_recurrence_source,P2015,transition_recurrence_source,前一个状态是哪种？,no_recent_dialogue,insufficient,vague,clarify_context,no,clarification_safety_slice,no_recent_dialogue;vague_question;short_vague_question_without_dialogue;has_problem_context
dialogue_v3_011_transition_recurrence_source,luogu_p13680_transition_recurrence_source,P13680,transition_recurrence_source,是不是先记录到当前阶段为止还能成立的情况？,recent_dialogue_ends_with_assistant,sufficient,pronoun_dependent,continue_prior_scaffold,yes,main_scaffold_eval,recent_dialogue_ends_with_assistant;pronoun_dependent_question;has_problem_context
dialogue_v3_012_predicate_check_semantics,luogu_p2857_predicate_check_semantics,P2857,predicate_check_semantics,是不是 true 代表这个候选还可行？,recent_dialogue_ends_with_assistant,sufficient,pronoun_dependent,continue_prior_scaffold,yes,main_scaffold_eval,recent_dialogue_ends_with_assistant;pronoun_dependent_question;has_problem_context
dialogue_v3_013_predicate_check_semantics,luogu_p14988_predicate_check_semantics,P14988,predicate_check_semantics,true 就是这个候选值能满足限制。,recent_dialogue_ends_with_assistant,sufficient,pronoun_dependent,continue_prior_scaffold,yes,main_scaffold_eval,recent_dialogue_ends_with_assistant;pronoun_dependent_question;has_problem_context
